fold_id,train_start,train_end,val_start,val_end,test_start,test_end,purge_bars,embargo_bars,n_train,n_val,n_test,threshold,selected_features,model_type,oos_auc,oos_brier,n_trials_this_fold,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_trades,oos_turnover,oos_gross_return,oos_net_return
1,2020-01-02,2020-06-23,2020-06-26,2020-08-21,2020-08-26,2020-10-07,2,2,120,40,30,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.3616071428571429,0.45144992107819587,2,,,0.0,0.0,0,0.0,0.0,0.0
2,2020-01-02,2020-08-05,2020-08-10,2020-10-05,2020-10-08,2020-11-18,2,2,150,40,30,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.65,0.2537244938298154,2,-1.464738931714747,-1.780217344875498,-0.1084746196140216,-0.026017668945517936,13,6.121548704710932,-0.009941685033203917,-0.013576211605004329
3,2020-01-02,2020-09-17,2020-09-22,2020-11-16,2020-11-19,2021-01-04,2,2,180,40,30,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.4736842105263158,0.318910889495311,2,1.5621558152424517,2.3072258841329947,0.15892088307092922,-0.02816979988000634,26,1.561097215557016,0.018665790344553068,0.017713302094537697
4,2020-01-02,2020-10-29,2020-11-03,2020-12-30,2021-01-05,2021-02-17,2,2,210,40,30,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.6220095693779905,0.5711123799338904,2,,,0.0,0.0,0,0.0,0.0,0.0
5,2020-01-02,2020-12-11,2020-12-16,2021-02-12,2021-02-18,2021-03-31,2,2,240,40,30,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5155555555555555,0.34746770631985147,2,,,0.0,0.0,0,0.0,0.0,0.0
6,2020-01-02,2021-01-27,2021-02-01,2021-03-29,2021-04-01,2021-05-13,2,2,270,40,30,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.375,0.3728015938345415,2,0.6082573961473563,0.8472751094475564,0.07758549589441643,-0.060371252296444466,28,2.2103706076812877,0.01026732057726698,0.008935264980896473
7,2020-01-02,2021-03-11,2021-03-16,2021-05-11,2021-05-14,2021-06-25,2,2,300,40,30,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.44343891402714936,0.40342911404889914,2,,,0.0,0.0,0,0.0,0.0,0.0
8,2020-01-02,2021-04-23,2021-04-28,2021-06-23,2021-06-28,2021-08-09,2,2,330,40,30,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.6435185185185186,0.23465261579815078,2,-3.7148267218750295,-4.191790234711267,-0.15669747007422252,-0.02162969327741804,16,3.9761377156261095,-0.01774058910314036,-0.020084786271381216
9,2020-01-02,2021-06-07,2021-06-10,2021-08-05,2021-08-10,2021-09-21,2,2,360,40,30,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5502392344497608,0.252423411065222,2,5.339658845456121,10.443442404612066,0.550191022110097,-0.021585277771851152,25,1.6686910473933791,0.05462752746956401,0.05357366575446232
10,2020-01-02,2021-07-20,2021-07-23,2021-09-17,2021-09-22,2021-11-02,2,2,390,40,30,0.6,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5803571428571429,0.29533506411978855,2,,,0.0,0.0,0,0.0,0.0,0.0
11,2020-01-02,2021-08-31,2021-09-03,2021-10-29,2021-11-03,2021-12-15,2,2,420,40,30,0.5,"momentum_63,momentum_252,trend_50,mean_reversion_20,realized_vol_20,volatility_ratio_10_60,volume_zscore_20,log_dollar_volume_20,cross_asset_rel_strength,regime_drawdown,regime_high_vol,info_sentiment,info_abs_sentiment,info_attention,info_source_breadth,info_novelty,info_disagreement,info_intensity,info_corroboration",logistic,0.5167464114832536,0.4168811948008122,2,,,0.0,0.0,0,0.0,0.0,0.0
